         2616 function calls (2329 primitive calls) in 1.966 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 {built-in method numpy.asarray}
        1    0.000    0.000    0.001    0.001 D:\Python\lib\site-packages\PIL\Image.py:674(__array_interface__)
        1    0.000    0.000    0.001    0.001 D:\Python\lib\site-packages\PIL\Image.py:705(tobytes)
       95    0.000    0.000    0.000    0.000 {built-in method torch._C._get_tracing_state}
       95    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\nn\modules\module.py:1617(__setattr__)
       11    0.000    0.000    0.000    0.000 {method 'encode' of 'ImagingEncoder' objects}
      168    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\nn\modules\module.py:1601(__getattr__)
        1    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
      189    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\nn\modules\module.py:2167(children)
  399/304    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\JpegImagePlugin.py:397(load_read)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
      189    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\nn\modules\module.py:2176(named_children)
       95    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\nn\parameter.py:8(__instancecheck__)
        1    0.000    0.000    0.000    0.000 {built-in method torch.from_numpy}
       18    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\nn\modules\batchnorm.py:408(_check_input_dim)
        4    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\nn\modules\conv.py:632(_output_padding)
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\Image.py:238(_conv_type_shape)
       13    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\nn\modules\container.py:207(__iter__)
        4    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\nn\modules\utils.py:9(parse)
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\ImageMode.py:36(getmode)
        1    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\Image.py:383(_getdecoder)
      286    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\ImageFile.py:280(load_prepare)
       30    0.000    0.000    0.000    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\Image.py:531(_new)
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\Image.py:56(__getattr__)
        1    0.000    0.000    0.000    0.000 {method 'squeeze' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.new}
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\numpy\core\_methods.py:55(_any)
       18    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\backends\__init__.py:31(__get__)
        1    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        4    0.000    0.000    0.000    0.000 D:\Python\lib\abc.py:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\Image.py:406(_getencoder)
        1    0.000    0.000    0.000    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       16    0.000    0.000    0.000    0.000 {method 'size' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\_deprecate.py:8(deprecate)
       23    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_unary}
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.jpeg_decoder}
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.raw_encoder}
       18    0.000    0.000    0.000    0.000 {built-in method torch._C._get_cudnn_enabled}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
       94    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       34    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\ImageMode.py:25(__init__)
       95    0.000    0.000    0.000    0.000 {function _ParameterMeta.__instancecheck__ at 0x00000206A320CE50}
        4    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\Image.py:802(load)
        3    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\Image.py:500(__init__)
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\autograd\grad_mode.py:53(__enter__)
       95    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       18    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_variadic}
       13    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\autograd\grad_mode.py:57(__exit__)
        1    0.000    0.000    0.000    0.000 D:\Python\lib\abc.py:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\autograd\grad_mode.py:48(__init__)
        2    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\autograd\grad_mode.py:149(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       13    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 D:\Python\lib\_collections_abc.py:262(__subclasshook__)
        3    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\Image.py:2752(_check_size)
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        3    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\Image.py:513(__getattr__)
       11    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\Image.py:527(size)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 D:\Python\lib\_collections_abc.py:78(_check_methods)
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\ImageFile.py:219(<listcomp>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.000    0.000 {built-in method torch.is_grad_enabled}
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.raw_decoder}
        3    0.000    0.000    0.000    0.000 D:\Python\lib\enum.py:451(__members__)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.000    0.000 {method 'pixel_access' of 'ImagingCore' objects}
        2    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\Image.py:523(height)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\Image.py:519(width)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.000    0.000 {built-in method torch._C._set_grad_enabled}
        1    0.000    0.000    0.000    0.000 D:\Python\lib\enum.py:439(__getitem__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\torch\_jit_internal.py:1102(is_scripting)
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\ImageFile.py:74(_tilesort)
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\ImageFile.py:222(<lambda>)
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 D:\Python\lib\site-packages\PIL\ImageFile.py:288(load_end)


